,Neighborhood,Latitude,Longitude
0,Agram,45.813177,15.977048
1,Amruthahalli,13.0665131,77.5966238
2,Attur,11.66371065,78.5335512850924
3,Banaswadi,13.0141618,77.6518539
4,Bellandur,58.235358,26.6831165
5,Bhattarahalli,13.0258004,77.714279
6,Bidrahalli,14.5774262,74.9285603
7,Byatarayanapura,13.06207355,77.5963916436534
8,Devanagundi,12.9736132,77.8394018
9,Devasandra,12.7572271,77.6472795
10,Doddagubbi,14.452076,75.5107992
11,Doddanekkundi,12.9757204,77.6940417
12,Domlur,12.9624669,77.6381958
13,EPIP,12.9776727,77.7222000289312
14,Fraser Town,42.2453631,-74.9646074
15,Gunjur,13.17602,-16.759896
16,HighCourt,53.7835082,-0.3871868
17,Hoodi,12.9919033,77.7162015
18,Horamavu,13.0273312,77.6601508
19,Indiranagar S.O (Bangalore),12.9732913,77.6404672
20,Jakkur,13.0784743,77.6068938
21,Kadugodi,13.0216263,77.7661802
22,Kalkunte,14.310717,76.2673431
23,Kannamangala,13.2151923,77.6667197
24,Kodigehalli,13.0031666,77.7272835
25,Kothanur,12.5805368,77.3330675
26,Krishnarajapuram,12.9186282,78.4463677
27,Kundalahalli,12.9684441,77.7187843
28,Lingarajapuram,13.0117678,77.6278288
29,Mahadevapura,14.4667215,76.5745227
30,Medimallasandra,12.9523031,77.830108
31,Mundur,10.8354433,76.5720879
32,Museum Road,-35.0813217,137.7042675
33,NAL,58.31895635,12.2660146973746
34,Panathur,12.9351457,77.7047541
35,Rajanakunte,13.1691901,77.5639442
36,Sadashivanagar,13.0077079,77.5795893
37,Samethanahalli,12.979363,77.7907328
38,Singanayakanahalli,13.1478621,77.5693207
39,Vasanthanagar,9.3137072,80.4233956
40,Venkateshapura,14.6347896,76.2308938
41,Vimanapura,12.96218,77.6635462
42,Virgonagar,13.0331172,77.734857
43,Whitefield,44.373441,-71.61026
44,Yelahanka,13.1006982,77.5963454
45,Adugodi,12.9428472,77.6104155
46,Agara,27.67060495,85.0161704313664
47,Anjanapura,14.1595946,75.3883166
48,Banashankari,15.8876779,75.7046777
49,Bannerghatta,12.53290595,77.5461906892049
50,Basavanagudi H.O,13.8345913,75.7339359
51,Begur,52.480709,13.4518288
52,Bolare,12.7798514,76.9214248
53,Bommanahalli S.O (Bangalore),13.3457317,77.4333346
54,Chandapura,17.4436387,77.433391
55,Chandapura,17.4436387,77.433391
56,Chickpet,12.9680027,77.578642
57,Chikkalasandra,12.9121916,77.5476337
58,Deepanjalinagar,12.95062355,77.5365537699925
